ID     start                 end                     X      Y   dt0  pa   da    v     dv   minv  maxv  halo? 
1     2011/01/01T22:54:13  2011/01/02T05:12:00     994   -392  02   263  028  0136  0004  0126  0141   NA
2     2011/01/28T00:00:09  2011/01/28T01:36:00    1123    308  06   286  118  0459  0121  0284  0781   II
3     2011/01/28T03:38:33  2011/01/28T01:36:00    1040     77  06   287  124  0459  0126  0284  0822   II
4     2011/01/29T07:19:39  2011/01/29T09:36:00    1005    317  02   281  060  0238  0113  0146  0493   NA
5     2011/01/30T08:18:10  2011/01/30T21:48:00     655    441  02   291  040  0416  0030  0322  0437   NA
6     2011/02/02T00:00:11  2011/02/02T07:00:00     407    796  02   307  040  1224  0288  0992  1953   NA
7     2011/02/11T06:03:46  2011/02/11T08:48:00    1010    339  01   279  012  0405  0124  0206  0419   NA
8     2011/02/15T01:35:34  2011/02/15T02:12:00    -329     64   2   144  360  0471  0127  0301  0811   IV 
9     2011/02/27T07:51:40  2011/02/27T10:48:00    -931    168  01   094  058  0332  0079  0203  0413   NA
10    2011/03/03T00:00:04  2011/03/03T20:36:00   -1156    253  04   065  092  0359  0051  0241  0446   II
11    2011/03/04T02:42:10  2011/03/04T05:48:00    -996   -247  02   079  092  0506  0109  0301  0781   II
12    2011/03/07T19:00:01  2011/03/07T20:12:00     812    701  08   320  230  0702  0403  0263  1644  III
13    2011/03/19T11:24:11  2011/03/19T12:12:00    1019   -490  03   254  054  0976  0172  0466  1201   NA
14    2011/03/29T18:40:11  2011/03/29T20:24:00     -19   1067  03   000  158  0879  0226  0296  1242   II 
15    2011/03/31T21:00:29  2011/03/31T23:12:00     333   -171  01   179  032  0229  0015  0199  0253   NA
16    2011/04/08T21:00:30  2011/04/09T02:36:00    -375    474  01   043  036  0139  0001  0137  0141   NA
17    2011/04/24T07:34:00  2011/04/24T09:24:00    -928    431  03   070  022  0424  0022  0369  0452   NA
18    2011/04/27T00:41:54  2011/04/27T02:36:00    -835    545  03   063  084  0694  0150  0416  0976   NA
