##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
# IDL save file: http://aia.cfa.harvard.edu/filament/catalog_table.sav
###
# Column Headers:
#  ID = Catalog ID number
# Start = Start time (UT)
# _End = End time (UT)
# X = X coordinate (arcsec)
# Y = Y coordinate (arcsec)
# Rating = Arbitrary interest rating from 1 to 5. -1 indicates a duplicate event.
# Type = Active Region (AR), Intermediate (IP), Quescient (QS), or Polar Crown (PC)
# Eruption = Full (F), Partial (P), or Confined (C)
# Symmetry = Symmetric (S) or Asymmetric (A)
# Direction = Radial (R), Non-radial (NR), or Sideways (S)
# Twist = Yes (Y) or No (N) for apparent twist motions
# Writhe = Yes (Y) or No (N) for apparent writhing motions
# Threads = Yes (Y) or No (N) for vertical threads
# Cavity = Yes (Y), No (N), or During (D) for presence of a coronal cavity
# Flare = Flares within movie FOV. "?" indicates flares without location info.
# CME = Yes (Y), No (N), or a CME speed number
# Box = [x1,x2,y1,y2] HEK box coordinates (arcsec)
# AIA_FOV = [x1,x2,y1,y2] Catalog movie box coordinates (pixels)
# HEK_Link = IVO ID link for the HEK event
# Cat_Link = URL for catalog entry
##########################################################################################
ID	START	_END	X	Y	RATING	TYPE	ERUPTION	SYMMETRY	DIRECTION	TWIST	WRITHE	THREADS	CAVITY	FLARE	CME	BOX	AIA_FOV	HEK_LINK	CAT_LINK
0000	2010-04-24T05:48:23	2010-04-24T07:14:48	287	111	0.50	-	-	-	-	-	-	-	-	N	-	[-203,777,-160,382]	[1567,3486,1694,2773]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100426_144313	http://aia.cfa.harvard.edu/filament/index.html?search=0000
0001	2010-04-30T19:33:54	2010-05-01T02:56:08	-554	179	0.0	-	-	-	-	-	-	-	-	C2.2|C5.7	-	[-975,-132,522,-164]	[166,2085,1807,2886]	ivo://helio-informatics.org/FE304_NealHurlburt_20100504_190608	http://aia.cfa.harvard.edu/filament/index.html?search=0001
0002	2010-04-30T22:00:06	2010-05-01T01:20:10	-455	240	0.0	-	-	-	-	-	-	-	-	N	-	[-179,-730,477,3]	[651,1930,2089,2808]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100501_175540	http://aia.cfa.harvard.edu/filament/index.html?search=0002
0003	2010-05-04T05:00:06	2010-05-04T07:40:23	-95	-410	0.0	-	-	-	-	-	-	-	-	N	-	[-864,673,-835,15]	[608,3169,645,2084]	ivo://helio-informatics.org/FE304_RalphSeguin_20100518_210611	http://aia.cfa.harvard.edu/filament/index.html?search=0003
0004	2010-05-05T15:16:00	2010-05-06T02:13:51	501	-421	0.0	-	-	-	-	-	-	-	-	N	-	[-246,1248,87,-929]	[1606,4095,647,2046]	ivo://helio-informatics.org/FE171_NealHurlburt_20100507_224704	http://aia.cfa.harvard.edu/filament/index.html?search=0004
0005	2010-05-05T16:00:02	2010-05-05T17:56:02	221	-354	0.0	-	-	-	-	-	-	-	-	N	-	[88,354,-243,-464]	[1777,3056,1099,1818]	ivo://helio-informatics.org/FE193_NealHurlburt_20100505_224054	http://aia.cfa.harvard.edu/filament/index.html?search=0005
0006	2010-05-05T16:00:02	2010-05-05T17:58:37	199	-378	0.0	-	-	-	-	-	-	-	-	N	-	[-197,595,11,-768]	[1420,3339,878,1957]	ivo://helio-informatics.org/FE193_NealHurlburt_20100506_221856	http://aia.cfa.harvard.edu/filament/index.html?search=0006
0007	2010-05-06T05:50:05	2010-05-06T07:29:41	347	-393	0.0	-	-	-	-	-	-	-	-	N	-	[194,499,-288,-498]	[1986,3265,1034,1753]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100507_002900	http://aia.cfa.harvard.edu/filament/index.html?search=0007
0008	2010-05-08T01:58:25	2010-05-08T08:13:31	180	659	0.0	-	-	-	-	-	-	-	-	B4.3|C9.3	-	[-877,1237,75,1244]	[572,4095,2114,4095]	ivo://helio-informatics.org/FE171_RalphSeguin_20100510_233043	http://aia.cfa.harvard.edu/filament/index.html?search=0008
0009	2010-05-10T09:25:04	2010-05-10T11:59:32	804	712	0.0	-	-	-	-	-	-	-	-	1?	-	[633,975,885,539]	[2749,4028,2875,3594]	ivo://helio-informatics.org/FE304_NealHurlburt_20100510_185546	http://aia.cfa.harvard.edu/filament/index.html?search=0009
0010	2010-05-11T04:13:01	2010-05-11T08:16:19	605	827	0.0	-	-	-	-	-	-	-	-	N	-	[408,801,1013,641]	[2416,3695,3067,3786]	ivo://helio-informatics.org/FE171_RalphSeguin_20100511_200122	http://aia.cfa.harvard.edu/filament/index.html?search=0010
0011	2010-05-12T00:00:05	2010-05-12T05:36:35	849	497	0.0	-	-	-	-	-	-	-	-	1?	-	[623,1076,674,320]	[2816,4095,2517,3236]	ivo://helio-informatics.org/FE211_RalphSeguin_20100512_165304	http://aia.cfa.harvard.edu/filament/index.html?search=0011
0012	2010-05-12T12:58:49	2010-05-12T15:59:05	914	439	0.0	-	-	-	-	-	-	-	-	1?	-	[648,1179,761,117]	[2176,4095,2240,3319]	ivo://helio-informatics.org/FE171_RalphSeguin_20100512_164405	http://aia.cfa.harvard.edu/filament/index.html?search=0012
0013	2010-05-18T14:00:05	2010-05-18T16:00:05	333	961	1.0	PC?	C?	A?	R	N	N	N	N	N	N	[237,429,1031,891]	[1964,3243,3290,4009]	ivo://helio-informatics.org/FE211_RalphSeguin_20100518_200730	http://aia.cfa.harvard.edu/filament/index.html?search=0013
0014	2010-05-25T02:18:40	2010-05-25T04:45:23	-959	450	3.7	QS?	F	A	NR	Y	N	Y?	D?	N	0744	[-1125,-793,524,376]	[0,1279,2439,3158]	ivo://helio-informatics.org/FE304_MarkCheung_20100525_184834	http://aia.cfa.harvard.edu/filament/index.html?search=0014
0015	-	-	-	-	-1	-	-	-	-	-	-	-	-	-	-	-	-	ivo://helio-informatics.org/FE304_TomBerger_20100527_160251	-
0016	2010-05-26T06:18:58	2010-05-26T13:15:44	-350	-422	2.0	QS	P	S?	R	N	N	Y	N	N	0110	[-920,220,0,-844]	[505,2424,805,1884]	ivo://helio-informatics.org/FE304_KarelSchrijver_20100603_002027	http://aia.cfa.harvard.edu/filament/index.html?search=0016
0017	2010-05-29T13:01:17	2010-05-30T22:59:29	748	814	4.0	QS	P	A	R	Y	N	Y	Y	N	0218	[978,518,595,1033]	[2655,3934,3045,3764]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100604_212257	http://aia.cfa.harvard.edu/filament/index.html?search=0017
0018	2010-05-31T15:05:42	2010-06-01T05:58:17	438	430	3.0	-	-	-	-	-	-	-	-	N	-	[257,618,623,237]	[2138,3417,2405,3124]	ivo://helio-informatics.org/FE211_RalphSeguin_20100601_200558	http://aia.cfa.harvard.edu/filament/index.html?search=0018
0019	2010-06-01T16:15:39	2010-06-01T20:33:44	-336	-729	1.0	-	-	-	-	-	-	-	-	N	-	[-555,-118,-475,-983]	[528,2447,294,1373]	ivo://helio-informatics.org/FE304_RalphSeguin_20100602_031345	http://aia.cfa.harvard.edu/filament/index.html?search=0019
0020	2010-06-03T00:00:02	2010-06-03T03:59:38	742	345	1.0	-	-	-	-	-	-	-	-	N	-	[925,559,101,589]	[2176,4095,2084,3163]	ivo://helio-informatics.org/FE171_KarelSchrijver_20100604_155405	http://aia.cfa.harvard.edu/filament/index.html?search=0020
0021	2010-06-03T00:00:02	2010-06-03T09:59:16	812	249	1.0	-	-	-	-	-	-	-	-	N	-	[495,1128,663,-165]	[1643,4095,1775,3152]	ivo://helio-informatics.org/FE304_RalphSeguin_20100603_183731	http://aia.cfa.harvard.edu/filament/index.html?search=0021
0022	2010-06-03T00:00:03	2010-06-03T01:17:45	720	305	1.0	-	-	-	-	-	-	-	-	N	-	[800,640,180,430]	[2609,3888,2197,2916]	ivo://helio-informatics.org/FE211_KarelSchrijver_20100604_154545	http://aia.cfa.harvard.edu/filament/index.html?search=0022
0023	2010-06-03T01:32:15	2010-06-04T05:18:25	-917	656	3.0	-	-	-	-	-	-	-	-	N	-	[-1203,-632,919,392]	[0,1279,2781,3500]	ivo://helio-informatics.org/FE171_TomBerger_20100609_165611	http://aia.cfa.harvard.edu/filament/index.html?search=0023
