##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0338
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0338
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 1350 +/- 29.2196
# t0 = 21312.4 +/- 150.142
# c0 = 390.728 +/- 42.2404
# c1 = 0.00291599 +/- 0.000443528
# c2 = 89.5173 +/- 3.61854
####
# Fit Results:
# t_onset = 2011-12-08T07:35:04.795 +/- 651.289 (sec)
# h_onset = 64.3767 +/- 10.0674 (Mm)
# dh_onset = 11.1809 +/- 10.0674 (Mm)
# dt_slowrise = 1.12574 +/- 0.180914 (hrs)
# v_slowrise = 2.18716 +/- 0.600476 (km/s)
# v_fovmax = 197.081 +/- 6.69807 (km/s)
# v_500arc = 219.388 +/- 6.33493 (km/s)
# a_onset = 1.54879 +/- 0.52638 (m/s^2)
# a_fovmax = 144.564 +/- 10.5006 (m/s^2)
# a_500arc = 161.089 +/- 166.509 (m/s^2)
# n_onset = 0.976367 +/- 0.00982404 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.612 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2011-12-08T03:23:32.140
# km per arcsec = 714.825
# Data HEIGHT error (arcsec) = 9.05205
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2011-12-08T06:27:32.130	56.673	[-898.25446,-530.00525]	59.757	[-900.33075,-532.28558]	0.0030595	0.00000010631
2011-12-08T06:29:32.120	55.787	[-897.65833,-529.35046]	60.125	[-900.57843,-532.55762]	0.0030729	0.00000011619
2011-12-08T06:31:32.130	56.673	[-898.25446,-530.00525]	60.494	[-900.82733,-532.83093]	0.0030874	0.00000012700
2011-12-08T06:33:32.130	58.444	[-899.44678,-531.31476]	60.866	[-901.07733,-533.10559]	0.0031034	0.00000013880
2011-12-08T06:35:32.130	58.444	[-899.44678,-531.31476]	61.239	[-901.32880,-533.38177]	0.0031208	0.00000015170
2011-12-08T06:37:32.120	58.444	[-899.44678,-531.31476]	61.615	[-901.58167,-533.65942]	0.0031398	0.00000016581
2011-12-08T06:39:32.130	58.444	[-899.44678,-531.31476]	61.993	[-901.83612,-533.93896]	0.0031606	0.00000018122
2011-12-08T06:41:32.130	58.444	[-899.44678,-531.31476]	62.373	[-902.09241,-534.22040]	0.0031834	0.00000019807
2011-12-08T06:43:32.120	58.444	[-899.44678,-531.31476]	62.757	[-902.35052,-534.50397]	0.0032082	0.00000021648
2011-12-08T06:45:32.130	60.215	[-900.63916,-532.62427]	63.144	[-902.61084,-534.78986]	0.0032354	0.00000023660
2011-12-08T06:47:32.120	60.215	[-900.63916,-532.62427]	63.534	[-902.87341,-535.07819]	0.0032651	0.00000025859
2011-12-08T06:49:32.130	60.215	[-900.63916,-532.62427]	63.927	[-903.13843,-535.36932]	0.0032975	0.00000028263
2011-12-08T06:51:32.120	61.100	[-901.23523,-533.27905]	64.325	[-903.40631,-535.66345]	0.0033330	0.00000030891
2011-12-08T06:53:32.130	61.986	[-901.83148,-533.93384]	64.727	[-903.67712,-535.96094]	0.0033718	0.00000033762
2011-12-08T06:55:32.120	62.871	[-902.42755,-534.58862]	65.134	[-903.95117,-536.26190]	0.0034142	0.00000036901
2011-12-08T06:57:32.130	64.642	[-903.61987,-535.89813]	65.547	[-904.22888,-536.56689]	0.0034605	0.00000040331
2011-12-08T06:59:32.130	65.528	[-904.21613,-536.55292]	65.965	[-904.51044,-536.87616]	0.0035111	0.00000044080
2011-12-08T07:01:32.120	66.413	[-904.81219,-537.20770]	66.390	[-904.79633,-537.19012]	0.0035664	0.00000048178
2011-12-08T07:03:32.130	68.184	[-906.00464,-538.51721]	66.821	[-905.08685,-537.50922]	0.0036269	0.00000052657
2011-12-08T07:05:32.120	69.070	[-906.60077,-539.17200]	67.260	[-905.38245,-537.83392]	0.0036929	0.00000057551
2011-12-08T07:07:32.130	69.070	[-906.60077,-539.17200]	67.708	[-905.68365,-538.16479]	0.0037652	0.00000062902
2011-12-08T07:09:32.130	69.956	[-907.19696,-539.82678]	68.164	[-905.99103,-538.50232]	0.0038441	0.00000068749
2011-12-08T07:11:32.130	70.841	[-907.79309,-540.48151]	68.631	[-906.30499,-538.84717]	0.0039304	0.00000075140
2011-12-08T07:13:32.130	72.612	[-908.98541,-541.79108]	69.108	[-906.62628,-539.20001]	0.0040247	0.00000082125
2011-12-08T07:15:32.130	72.612	[-908.98541,-541.79108]	69.597	[-906.95557,-539.56165]	0.0041277	0.00000089759
2011-12-08T07:17:32.130	74.383	[-910.17773,-543.10059]	70.099	[-907.29352,-539.93280]	0.0042404	0.00000098103
2011-12-08T07:19:32.130	74.383	[-910.17773,-543.10059]	70.615	[-907.64099,-540.31445]	0.0043635	0.0000010722
2011-12-08T07:21:32.120	76.154	[-911.37006,-544.41016]	71.147	[-907.99884,-540.70752]	0.0044980	0.0000011719
2011-12-08T07:23:32.130	76.154	[-911.37006,-544.41016]	71.695	[-908.36816,-541.11304]	0.0046451	0.0000012808
2011-12-08T07:25:32.120	76.154	[-911.37006,-544.41016]	72.262	[-908.74976,-541.53223]	0.0048058	0.0000013999
2011-12-08T07:27:32.120	77.040	[-911.96619,-545.06488]	72.849	[-909.14502,-541.96631]	0.0049815	0.0000015300
2011-12-08T07:29:32.130	77.925	[-912.56238,-545.71967]	73.458	[-909.55511,-542.41681]	0.0051735	0.0000016723
2011-12-08T07:31:32.130	78.811	[-913.15851,-546.37445]	74.091	[-909.98145,-542.88501]	0.0053834	0.0000018277
2011-12-08T07:33:32.130	79.696	[-913.75470,-547.02924]	74.751	[-910.42548,-543.37268]	0.0056128	0.0000019976
2011-12-08T07:35:32.130	80.582	[-914.35083,-547.68396]	75.439	[-910.88892,-543.88165]	0.0058635	0.0000021833
2011-12-08T07:37:32.130	82.353	[-915.54315,-548.99353]	76.159	[-911.37347,-544.41388]	0.0061375	0.0000023863
2011-12-08T07:39:32.130	84.124	[-916.73547,-550.30304]	76.913	[-911.88129,-544.97156]	0.0064369	0.0000026081
2011-12-08T07:41:32.120	85.895	[-917.92780,-551.61261]	77.705	[-912.41431,-545.55701]	0.0067642	0.0000028505
2011-12-08T07:43:32.120	86.780	[-918.52405,-552.26733]	78.538	[-912.97504,-546.17285]	0.0071219	0.0000031155
2011-12-08T07:45:32.120	88.551	[-919.71637,-553.57690]	79.416	[-913.56592,-546.82184]	0.0075129	0.0000034051
2011-12-08T07:47:32.120	84.124	[-916.73547,-550.30304]	80.343	[-914.18988,-547.50720]	0.0079402	0.0000037217
2011-12-08T07:49:32.130	90.322	[-920.90869,-554.88647]	81.323	[-914.85004,-548.23218]	0.0084073	0.0000040677
2011-12-08T07:51:32.130	86.780	[-918.52405,-552.26733]	82.362	[-915.54956,-549.00049]	0.0089178	0.0000044458
2011-12-08T07:53:32.130	81.467	[-914.94702,-548.33875]	83.465	[-916.29224,-549.81616]	0.0094757	0.0000048591
2011-12-08T07:55:32.120	81.467	[-914.94702,-548.33875]	84.638	[-917.08197,-550.68353]	0.010085	0.0000053107
2011-12-08T07:57:32.130	82.353	[-915.54315,-548.99353]	85.888	[-917.92334,-551.60760]	0.010752	0.0000058044
2011-12-08T07:59:32.130	84.124	[-916.73547,-550.30304]	87.221	[-918.82092,-552.59351]	0.011480	0.0000063440
2011-12-08T08:01:32.130	85.895	[-917.92780,-551.61261]	88.646	[-919.78015,-553.64697]	0.012277	0.0000069337
2011-12-08T08:03:32.120	92.093	[-922.10101,-556.19598]	90.171	[-920.80646,-554.77423]	0.013147	0.0000075782
2011-12-08T08:05:32.120	96.521	[-925.08179,-559.46985]	91.804	[-921.90643,-555.98230]	0.014098	0.0000082827
2011-12-08T08:07:32.120	97.406	[-925.67798,-560.12457]	93.557	[-923.08667,-557.27863]	0.015137	0.0000090527
2011-12-08T08:09:32.130	96.521	[-925.08179,-559.46985]	95.441	[-924.35492,-558.67151]	0.016273	0.0000098943
2011-12-08T08:11:32.120	93.864	[-923.29333,-557.50549]	97.467	[-925.71893,-560.16956]	0.017515	0.000010814
2011-12-08T08:13:32.130	94.750	[-923.88953,-558.16028]	99.649	[-927.18811,-561.78314]	0.018872	0.000011819
2011-12-08T08:15:32.130	97.406	[-925.67798,-560.12457]	102.00	[-928.77179,-563.52252]	0.020355	0.000012918
2011-12-08T08:17:32.130	100.06	[-927.46643,-562.08887]	104.54	[-930.48077,-565.39954]	0.021976	0.000014119
2011-12-08T08:19:32.130	101.83	[-928.65875,-563.39844]	107.28	[-932.32678,-567.42694]	0.023748	0.000015431
2011-12-08T08:21:32.130	103.61	[-929.85107,-564.70801]	110.25	[-934.32239,-569.61877]	0.025685	0.000016866
