##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0397
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0397
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 896.344 +/- 23.7618
# t0 = 11533 +/- 70.8846
# c0 = 624.62 +/- 49.7505
# c1 = 0.00468621 +/- 0.000788688
# c2 = 89.3175 +/- 4.71314
####
# Fit Results:
# t_onset = 2012-02-19T15:55:48.685 +/- 537.063 (sec)
# h_onset = 62.5257 +/- 11.7437 (Mm)
# dh_onset = 14.2639 +/- 11.7437 (Mm)
# dt_slowrise = 0.921268 +/- 0.149184 (hrs)
# v_slowrise = 3.44415 +/- 1.16716 (km/s)
# v_fovmax = 254.85 +/- 12.9712 (km/s)
# v_500arc = 333.573 +/- 15.3928 (km/s)
# a_onset = 3.76532 +/- 1.54868 (m/s^2)
# a_fovmax = 280.921 +/- 30.4429 (m/s^2)
# a_500arc = 368.841 +/- 391.259 (m/s^2)
# n_onset = 1.10178 +/- 0.0194531 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.562 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2012-02-19T13:58:32.120
# km per arcsec = 717.309
# Data HEIGHT error (arcsec) = 10.4453
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2012-02-19T15:00:32.120	42.673	[689.58,729.01]	52.806	[685.99,738.48]	0.0048004	0.00000012739
2012-02-19T15:02:32.120	42.673	[689.58,729.01]	53.383	[685.79,739.02]	0.0048168	0.00000014563
2012-02-19T15:04:32.140	42.673	[689.58,729.01]	53.963	[685.58,739.56]	0.0048355	0.00000016650
2012-02-19T15:06:32.120	42.673	[689.58,729.01]	54.544	[685.38,740.11]	0.0048568	0.00000019035
2012-02-19T15:08:32.120	42.673	[689.58,729.01]	55.128	[685.17,740.65]	0.0048813	0.00000021762
2012-02-19T15:10:32.120	52.061	[686.26,737.79]	55.716	[684.96,741.20]	0.0049092	0.00000024879
2012-02-19T15:12:32.120	54.622	[685.35,740.18]	56.307	[684.75,741.76]	0.0049412	0.00000028443
2012-02-19T15:14:32.120	55.475	[685.05,740.98]	56.902	[684.54,742.31]	0.0049777	0.00000032517
2012-02-19T15:16:32.120	59.743	[683.54,744.97]	57.501	[684.33,742.87]	0.0050194	0.00000037176
2012-02-19T15:18:32.120	64.010	[682.02,748.96]	58.107	[684.12,743.44]	0.0050672	0.00000042501
2012-02-19T15:20:32.120	64.863	[681.72,749.76]	58.718	[683.90,744.01]	0.0051217	0.00000048589
2012-02-19T15:22:32.120	64.863	[681.72,749.76]	59.336	[683.68,744.59]	0.0051841	0.00000055550
2012-02-19T15:24:32.120	64.863	[681.72,749.76]	59.962	[683.46,745.17]	0.0052555	0.00000063508
2012-02-19T15:26:32.120	64.863	[681.72,749.76]	60.598	[683.23,745.77]	0.0053370	0.00000072605
2012-02-19T15:28:32.120	64.863	[681.72,749.76]	61.244	[683.00,746.37]	0.0054302	0.00000083006
2012-02-19T15:30:32.120	64.863	[681.72,749.76]	61.902	[682.77,746.99]	0.0055368	0.00000094897
2012-02-19T15:32:32.120	66.570	[681.12,751.35]	62.573	[682.53,747.62]	0.0056587	0.0000010849
