##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0566
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0566
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 18862 +/- 543.821
# t0 = 130674 +/- 756.008
# c0 = 137.573 +/- 5.99151
# c1 = 0.000894178 +/- 2.19224E-05
# c2 = 170.528 +/- 2.04427
####
# Fit Results:
# t_onset = 2012-11-07T13:18:38.224 +/- 18789.2 (sec)
# h_onset = 119.75 +/- 11.0017 (Mm)
# dh_onset = 64.3369 +/- 11.0017 (Mm)
# dt_slowrise = 22.602 +/- 5.21923 (hrs)
# v_slowrise = 0.651622 +/- 0.131612 (km/s)
# v_fovmax = 6.04143 +/- 1.85607 (km/s)
# v_500arc = 12.6769 +/- 5.4223 (km/s)
# a_onset = 0.0341354 +/- 0.0171311 (m/s^2)
# a_fovmax = 0.286632 +/- 0.243141 (m/s^2)
# a_500arc = 0.638953 +/- 1.16796 (m/s^2)
# n_onset = 0.864293 +/- 0.0170251 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.526 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2012-11-06T12:00:31.130
# km per arcsec = 719.041
# Data HEIGHT error (arcsec) = 6.67102
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2012-11-06T14:42:31.140	67.684	[307.67,1004.1]	62.599	[305.50,999.47]	0.00090615	0.00000000063447
2012-11-06T14:51:31.120	67.684	[307.67,1004.1]	63.088	[305.71,999.92]	0.00090649	0.00000000065289
2012-11-06T15:00:31.120	65.535	[306.75,1002.1]	63.578	[305.92,1000.4]	0.00090685	0.00000000067186
2012-11-06T15:09:31.120	64.461	[306.29,1001.2]	64.068	[306.13,1000.8]	0.00090722	0.00000000069137
2012-11-06T15:18:31.120	63.386	[305.83,1000.2]	64.558	[306.34,1001.2]	0.00090760	0.00000000071145
2012-11-06T15:27:31.120	63.386	[305.83,1000.2]	65.048	[306.55,1001.7]	0.00090799	0.00000000073211
2012-11-06T15:36:31.120	64.461	[306.29,1001.2]	65.538	[306.76,1002.1]	0.00090839	0.00000000075337
2012-11-06T15:45:31.120	66.609	[307.21,1003.1]	66.029	[306.97,1002.6]	0.00090880	0.00000000077525
2012-11-06T15:54:31.120	68.221	[307.90,1004.6]	66.520	[307.18,1003.0]	0.00090923	0.00000000079777
2012-11-06T16:03:31.120	70.370	[308.82,1006.5]	67.011	[307.39,1003.5]	0.00090966	0.00000000082094
2012-11-06T16:12:31.120	73.593	[310.20,1009.4]	67.502	[307.60,1003.9]	0.00091011	0.00000000084478
2012-11-06T16:21:31.120	76.279	[311.35,1011.8]	67.994	[307.81,1004.3]	0.00091058	0.00000000086931
2012-11-06T16:30:31.120	75.741	[311.12,1011.4]	68.486	[308.02,1004.8]	0.00091105	0.00000000089456
2012-11-06T16:39:31.120	67.684	[307.67,1004.1]	68.978	[308.23,1005.2]	0.00091154	0.00000000092054
2012-11-06T16:48:31.120	68.221	[307.90,1004.6]	69.470	[308.44,1005.7]	0.00091205	0.00000000094728
2012-11-06T16:57:31.120	69.832	[308.59,1006.0]	69.963	[308.65,1006.1]	0.00091256	0.00000000097479
