##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0666
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0666
####
No fit for this entry.
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.439 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
####
# Data Info:
# Observation Start = 2013-04-02T10:20:31.120
# km per arcsec = 725.37958
##########################################################################################
TIME	HEIGHT	COORD
2013-04-02T11:15:31.130	4.4190	[-904.11603,374.26]
2013-04-02T11:16:31.130	6.0761	[-905.77203,374.32]
2013-04-02T11:17:31.130	7.1808	[-906.87604,374.36]
2013-04-02T11:18:31.120	8.2856	[-907.98004,374.40]
2013-04-02T11:19:31.130	8.8379	[-908.53217,374.42]
2013-04-02T11:20:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:21:31.130	9.9427	[-909.63611,374.46]
2013-04-02T11:22:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:23:31.130	6.0761	[-905.77203,374.32]
2013-04-02T11:24:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:25:31.130	6.0761	[-905.77203,374.32]
2013-04-02T11:26:31.120	4.4190	[-904.11603,374.26]
2013-04-02T11:27:31.130	7.7332	[-907.42804,374.38]
2013-04-02T11:29:31.130	8.8379	[-908.53217,374.42]
2013-04-02T11:30:31.120	9.3903	[-909.08417,374.44]
2013-04-02T11:31:31.130	9.9427	[-909.63611,374.46]
2013-04-02T11:32:31.140	9.9427	[-909.63611,374.46]
2013-04-02T11:33:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:34:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:35:31.130	9.9427	[-909.63611,374.46]
2013-04-02T11:36:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:37:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:38:31.120	9.9427	[-909.63611,374.46]
2013-04-02T11:39:31.130	9.9427	[-909.63611,374.46]
2013-04-02T11:40:31.120	11.047	[-910.74011,374.50]
2013-04-02T11:41:31.130	11.047	[-910.74011,374.50]
2013-04-02T11:42:31.120	11.047	[-910.74011,374.50]
2013-04-02T11:43:31.130	11.047	[-910.74011,374.50]
2013-04-02T11:44:31.120	11.047	[-910.74011,374.50]
2013-04-02T11:45:31.130	11.047	[-910.74011,374.50]
2013-04-02T11:46:31.120	11.047	[-910.74011,374.50]
2013-04-02T11:47:31.130	11.047	[-910.74011,374.50]
2013-04-02T11:48:31.120	11.047	[-910.74011,374.50]
2013-04-02T11:49:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:50:31.130	12.152	[-911.84412,374.54]
2013-04-02T11:51:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:52:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:53:31.130	12.152	[-911.84412,374.54]
2013-04-02T11:54:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:55:31.130	12.152	[-911.84412,374.54]
2013-04-02T11:56:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:57:31.130	12.152	[-911.84412,374.54]
2013-04-02T11:58:31.120	12.152	[-911.84412,374.54]
2013-04-02T11:59:31.130	13.257	[-912.94812,374.58]
2013-04-02T12:00:31.120	13.257	[-912.94812,374.58]
2013-04-02T12:01:31.130	13.257	[-912.94812,374.58]
