##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0673
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0673
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 2657.52 +/- 27.9792
# t0 = 113241 +/- 75.2205
# c0 = 393.977 +/- 11.0738
# c1 = 0.00118192 +/- 1.60482E-05
# c2 = 145.291 +/- 0.67141
####
# Fit Results:
# t_onset = 2013-04-18T19:55:52.302 +/- 248.950 (sec)
# h_onset = 107.546 +/- 5.81705 (Mm)
# dh_onset = 45.2623 +/- 5.81705 (Mm)
# dt_slowrise = 13.8559 +/- 0.0691527 (hrs)
# v_slowrise = 0.86123 +/- 0.0310976 (km/s)
# v_fovmax = 98.7657 +/- 7.85983 (km/s)
# v_500arc = 98.2177 +/- 1.0318 (km/s)
# a_onset = 0.324131 +/- 0.0150711 (m/s^2)
# a_fovmax = 36.85 +/- 3.21313 (m/s^2)
# a_500arc = 36.6421 +/- 36.8287 (m/s^2)
# n_onset = 0.788469 +/- 0.00856808 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.335 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2013-04-17T16:02:31.130
# km per arcsec = 728.668
# Data HEIGHT error (arcsec) = 5.536
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2013-04-18T06:04:31.120	74.676	[782.94,-690.75073]	71.160	[779.99,-688.83661]	0.0011819	********************
2013-04-18T06:09:31.120	74.676	[782.94,-690.75073]	71.514	[780.29,-689.02966]	0.0011819	********************
2013-04-18T06:14:31.120	74.676	[782.94,-690.75073]	71.869	[780.59,-689.22272]	0.0011819	********************
2013-04-18T06:19:31.120	74.676	[782.94,-690.75073]	72.223	[780.88,-689.41565]	0.0011819	********************
2013-04-18T06:24:31.120	74.676	[782.94,-690.75073]	72.578	[781.18,-689.60870]	0.0011819	********************
2013-04-18T06:29:31.120	74.676	[782.94,-690.75073]	72.933	[781.48,-689.80176]	0.0011819	********************
2013-04-18T06:34:31.120	74.676	[782.94,-690.75073]	73.287	[781.78,-689.99469]	0.0011819	********************
2013-04-18T06:39:31.120	74.676	[782.94,-690.75073]	73.642	[782.07,-690.18774]	0.0011819	********************
2013-04-18T06:44:31.120	74.676	[782.94,-690.75073]	73.996	[782.37,-690.38080]	0.0011819	********************
2013-04-18T06:49:31.120	74.676	[782.94,-690.75073]	74.351	[782.67,-690.57385]	0.0011819	********************
2013-04-18T06:54:31.120	74.676	[782.94,-690.75073]	74.706	[782.97,-690.76678]	0.0011819	********************
2013-04-18T06:59:31.120	74.676	[782.94,-690.75073]	75.060	[783.26,-690.95984]	0.0011819	0.000000000000010863
2013-04-18T07:04:31.120	76.750	[784.68,-691.87982]	75.415	[783.56,-691.15283]	0.0011819	0.000000000000012161
2013-04-18T07:09:31.120	73.639	[782.07,-690.18604]	75.769	[783.86,-691.34589]	0.0011819	0.000000000000013614
2013-04-18T07:14:31.120	64.304	[774.24,-685.10468]	76.124	[784.16,-691.53888]	0.0011819	0.000000000000015241
2013-04-18T07:19:31.120	66.379	[775.98,-686.23401]	76.478	[784.45,-691.73187]	0.0011819	0.000000000000017062
2013-04-18T07:24:31.120	66.379	[775.98,-686.23401]	76.833	[784.75,-691.92493]	0.0011819	0.000000000000019101
2013-04-18T07:29:31.120	66.379	[775.98,-686.23401]	77.188	[785.05,-692.11792]	0.0011819	0.000000000000021384
2013-04-18T07:34:31.120	66.379	[775.98,-686.23401]	77.542	[785.35,-692.31091]	0.0011819	0.000000000000023939
2013-04-18T07:39:31.120	66.379	[775.98,-686.23401]	77.897	[785.64,-692.50397]	0.0011819	0.000000000000026800
2013-04-18T07:44:31.120	67.416	[776.85,-686.79852]	78.251	[785.94,-692.69702]	0.0011819	0.000000000000030003
2013-04-18T07:49:31.120	78.825	[786.42,-693.00903]	78.606	[786.24,-692.88995]	0.0011819	0.000000000000033589
2013-04-18T07:54:31.120	78.825	[786.42,-693.00903]	78.960	[786.54,-693.08301]	0.0011819	0.000000000000037603
2013-04-18T07:59:31.120	80.899	[788.16,-694.13824]	79.315	[786.83,-693.27606]	0.0011819	0.000000000000042096
2013-04-18T08:04:31.120	80.899	[788.16,-694.13824]	79.670	[787.13,-693.46912]	0.0011819	0.000000000000047127
