##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0673b
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0673
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 3135.89 +/- 74.5986
# t0 = 58029.1 +/- 475.217
# c0 = 146.435 +/- 23.2202
# c1 = 0.000750512 +/- 4.14224E-05
# c2 = 76.4275 +/- 1.249
####
# Fit Results:
# t_onset = 2013-04-18T04:34:17.005 +/- 998.162 (sec)
# h_onset = 60.7919 +/- 8.89346 (Mm)
# dh_onset = 18.5624 +/- 8.89346 (Mm)
# dt_slowrise = 8.51274 +/- 0.277267 (hrs)
# v_slowrise = 0.546906 +/- 0.0942294 (km/s)
# v_fovmax = 45.2601 +/- 3.53053 (km/s)
# v_500arc = 98.4374 +/- 4.80385 (km/s)
# a_onset = 0.174633 +/- 0.0403323 (m/s^2)
# a_fovmax = 14.2753 +/- 1.98327 (m/s^2)
# a_500arc = 31.2503 +/- 33.2121 (m/s^2)
# n_onset = 1.09248 +/- 0.025235 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.335 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2013-04-17T16:02:31.130
# km per arcsec = 728.668
# Data HEIGHT error (arcsec) = 7.05297
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2013-04-17T20:03:31.130	35.354	[299.69,-957.98187]	43.729	[304.52,-964.82288]	0.00075056	0.000000000013771
2013-04-17T20:08:31.120	40.405	[302.60,-962.10779]	43.954	[304.65,-965.00684]	0.00075056	0.000000000015154
2013-04-17T20:13:31.130	40.405	[302.60,-962.10779]	44.179	[304.78,-965.19080]	0.00075056	0.000000000016675
2013-04-17T20:18:31.120	40.405	[302.60,-962.10779]	44.404	[304.91,-965.37469]	0.00075057	0.000000000018349
2013-04-17T20:23:31.130	40.405	[302.60,-962.10779]	44.629	[305.04,-965.55872]	0.00075058	0.000000000020191
2013-04-17T20:28:31.120	41.036	[302.97,-962.62360]	44.854	[305.17,-965.74261]	0.00075058	0.000000000022218
2013-04-17T20:33:31.130	41.668	[303.33,-963.13934]	45.080	[305.30,-965.92651]	0.00075059	0.000000000024449
2013-04-17T20:38:31.130	41.036	[302.97,-962.62360]	45.305	[305.43,-966.11053]	0.00075060	0.000000000026903
2013-04-17T20:43:31.140	46.718	[306.24,-967.26532]	45.530	[305.56,-966.29456]	0.00075060	0.000000000029604
2013-04-17T20:48:31.130	49.244	[307.70,-969.32831]	45.755	[305.69,-966.47845]	0.00075061	0.000000000032576
2013-04-17T20:53:31.130	41.668	[303.33,-963.13934]	45.980	[305.82,-966.66235]	0.00075062	0.000000000035846
2013-04-17T20:58:31.130	41.668	[303.33,-963.13934]	46.206	[305.95,-966.84637]	0.00075064	0.000000000039445
2013-04-17T21:04:31.130	45.456	[305.52,-966.23383]	46.476	[306.10,-967.06708]	0.00075065	0.000000000044243
2013-04-17T21:09:31.140	46.718	[306.24,-967.26532]	46.701	[306.23,-967.25110]	0.00075066	0.000000000048685
2013-04-17T21:14:31.130	46.718	[306.24,-967.26532]	46.926	[306.36,-967.43512]	0.00075068	0.000000000053573
