##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0816
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0816
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 1990.56 +/- 52.3992
# t0 = 42824.3 +/- 249.13
# c0 = 66.2484 +/- 8.45787
# c1 = 0.00282272 +/- 3.86986E-05
# c2 = 191.071 +/- 0.855415
####
# Fit Results:
# t_onset = 2013-10-12T17:32:38.112 +/- 402.077 (sec)
# h_onset = 142.866 +/- 5.92492 (Mm)
# dh_onset = 50.8725 +/- 5.92492 (Mm)
# dt_slowrise = 6.36194 +/- 0.111688 (hrs)
# v_slowrise = 2.04401 +/- 0.0743622 (km/s)
# v_fovmax = 47.52 +/- 3.59348 (km/s)
# v_500arc = 111.393 +/- 9.0137 (km/s)
# a_onset = 1.02774 +/- 0.120768 (m/s^2)
# a_fovmax = 22.881 +/- 3.85699 (m/s^2)
# a_500arc = 55.0087 +/- 61.7867 (m/s^2)
# n_onset = 1.02451 +/- 0.00561128 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.425 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2013-10-12T07:00:31.120
# km per arcsec = 724.12
# Data HEIGHT error (arcsec) = 4.6427
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2013-10-12T11:10:55.120	114.26	[888.09,625.10]	112.60	[887.04,623.82]	0.0028227	0.000000000014382
2013-10-12T11:13:55.120	114.26	[888.09,625.10]	113.11	[887.36,624.21]	0.0028227	0.000000000015744
2013-10-12T11:16:55.120	114.26	[888.09,625.10]	113.61	[887.68,624.60]	0.0028228	0.000000000017234
2013-10-12T11:19:55.120	114.26	[888.09,625.10]	114.12	[888.00,625.00]	0.0028228	0.000000000018865
2013-10-12T11:22:55.120	116.50	[889.51,626.84]	114.63	[888.32,625.39]	0.0028228	0.000000000020650
2013-10-12T11:25:55.120	116.50	[889.51,626.84]	115.14	[888.65,625.78]	0.0028228	0.000000000022604
2013-10-12T11:28:55.120	118.74	[890.93,628.57]	115.65	[888.97,626.18]	0.0028228	0.000000000024744
2013-10-12T11:31:55.120	118.74	[890.93,628.57]	116.16	[889.29,626.57]	0.0028228	0.000000000027085
2013-10-12T11:34:55.120	118.74	[890.93,628.57]	116.66	[889.61,626.96]	0.0028228	0.000000000029649
2013-10-12T11:37:55.120	120.98	[892.35,630.30]	117.17	[889.93,627.36]	0.0028228	0.000000000032455
2013-10-12T11:40:55.120	120.98	[892.35,630.30]	117.68	[890.25,627.75]	0.0028228	0.000000000035526
2013-10-12T11:43:55.120	120.98	[892.35,630.30]	118.19	[890.58,628.14]	0.0028228	0.000000000038889
2013-10-12T11:46:55.120	120.98	[892.35,630.30]	118.70	[890.90,628.54]	0.0028228	0.000000000042569
2013-10-12T11:49:55.120	120.98	[892.35,630.30]	119.20	[891.22,628.93]	0.0028228	0.000000000046598
2013-10-12T11:52:55.120	118.74	[890.93,628.57]	119.71	[891.54,629.32]	0.0028228	0.000000000051008
2013-10-12T11:55:55.120	118.74	[890.93,628.57]	120.22	[891.86,629.72]	0.0028228	0.000000000055835
