##########################################################################################
# SDO/AIA Filament Eruption Catalog
# Website: http://aia.cfa.harvard.edu/filament/
###
# Height-Time Kinematics Entry for ID No. 0852
# Entry URL: http://aia.cfa.harvard.edu/filament/index.html?search=0852
####
# Fit Parameters for h(t) = c0*exp[(t-t0)/tau] + c1(t-t0) + c2
# Note that t is in seconds relative to the start of observations, and h is in arcsec
# above the the limb along the (not necessarily radial) fit trajectory.
##
# tau = 896.135 +/- 16.453
# t0 = 16375.3 +/- 103.172
# c0 = 146.546 +/- 16.3531
# c1 = 0.000582708 +/- 0.000178281
# c2 = 45.3727 +/- 1.29304
####
# Fit Results:
# t_onset = 2013-12-24T08:24:03.397 +/- 783.010 (sec)
# h_onset = 41.1257 +/- 6.44582 (Mm)
# dh_onset = 2.63952 +/- 6.44582 (Mm)
# dt_slowrise = 1.41229 +/- 0.217503 (hrs)
# v_slowrise = 0.417253 +/- 0.255916 (km/s)
# v_fovmax = 163.45 +/- 9.20606 (km/s)
# v_500arc = 362.133 +/- 20.687 (km/s)
# a_onset = 0.46599 +/- 0.325761 (m/s^2)
# a_fovmax = 182.058 +/- 21.7489 (m/s^2)
# a_500arc = 403.898 +/- 439.34 (m/s^2)
# n_onset = 1.27966 +/- 0.00715802 (none)
##########################################################################################
# Data Key:
# TIME = Time in UT
# HEIGHT = Measured height in arcsec along trajectory slice starting from an initial radial height of 0.015 rsun (14.635 arcsec)
# COORD = [x,y] coordinate for HEIGHT in arcsec
# FIT_H = Fitted height in arcsec given parameters listed above.
# FIT_COORD = [x,y] coordinate for FIT_H
# FIT_V = Fit velocity in arcsec per second
# FIT_A = Fit acceleration in arcsec per second^2
####
# Data Info:
# Observation Start = 2013-12-24T05:16:07.130
# km per arcsec = 713.712
# Data HEIGHT error (arcsec) = 7.34717
##########################################################################################
TIME	HEIGHT	COORD	FIT_H	FIT_COORD	FIT_V	FIT_A
2013-12-24T06:59:19.140	35.476	[-1009.14783,-177.98111]	39.440	[-1012.79596,-179.53224]	0.00058461	0.0000000021188
2013-12-24T07:00:19.130	35.476	[-1009.14783,-177.98111]	39.476	[-1012.82831,-179.54597]	0.00058474	0.0000000022654
2013-12-24T07:01:19.130	35.476	[-1009.14783,-177.98111]	39.511	[-1012.86060,-179.55972]	0.00058488	0.0000000024223
2013-12-24T07:02:19.130	36.410	[-1010.00696,-178.34642]	39.546	[-1012.89288,-179.57344]	0.00058503	0.0000000025901
2013-12-24T07:03:31.130	36.410	[-1010.00696,-178.34642]	39.588	[-1012.93164,-179.58992]	0.00058522	0.0000000028067
2013-12-24T07:04:43.130	36.410	[-1010.00696,-178.34642]	39.630	[-1012.97046,-179.60640]	0.00058543	0.0000000030416
2013-12-24T07:05:43.120	36.410	[-1010.00696,-178.34642]	39.665	[-1013.00275,-179.62016]	0.00058562	0.0000000032521
2013-12-24T07:06:43.130	36.410	[-1010.00696,-178.34642]	39.700	[-1013.03510,-179.63391]	0.00058582	0.0000000034774
2013-12-24T07:07:43.120	36.410	[-1010.00696,-178.34642]	39.735	[-1013.06750,-179.64766]	0.00058604	0.0000000037181
2013-12-24T07:08:43.130	36.410	[-1010.00696,-178.34642]	39.771	[-1013.09979,-179.66144]	0.00058627	0.0000000039756
2013-12-24T07:09:43.120	36.410	[-1010.00696,-178.34642]	39.806	[-1013.13220,-179.67520]	0.00058652	0.0000000042509
2013-12-24T07:10:55.120	37.343	[-1010.86615,-178.71172]	39.848	[-1013.17108,-179.69171]	0.00058684	0.0000000046065
2013-12-24T07:11:55.120	36.410	[-1010.00696,-178.34642]	39.883	[-1013.20349,-179.70549]	0.00058712	0.0000000049255
2013-12-24T07:12:55.120	36.410	[-1010.00696,-178.34642]	39.918	[-1013.23590,-179.71927]	0.00058743	0.0000000052666
2013-12-24T07:13:55.120	36.410	[-1010.00696,-178.34642]	39.954	[-1013.26837,-179.73308]	0.00058775	0.0000000056313
2013-12-24T07:14:55.120	36.410	[-1010.00696,-178.34642]	39.989	[-1013.30078,-179.74687]	0.00058810	0.0000000060212
2013-12-24T07:15:55.120	37.343	[-1010.86615,-178.71172]	40.024	[-1013.33331,-179.76070]	0.00058848	0.0000000064382
2013-12-24T07:16:55.120	36.877	[-1010.43658,-178.52907]	40.060	[-1013.36584,-179.77452]	0.00058888	0.0000000068840
2013-12-24T07:17:55.130	37.343	[-1010.86615,-178.71172]	40.095	[-1013.39838,-179.78836]	0.00058930	0.0000000073608
2013-12-24T07:18:55.120	38.277	[-1011.72528,-179.07700]	40.130	[-1013.43085,-179.80220]	0.00058976	0.0000000078704
2013-12-24T07:20:07.130	39.677	[-1013.01404,-179.62494]	40.173	[-1013.46997,-179.81880]	0.00059035	0.0000000085289
2013-12-24T07:21:07.120	40.144	[-1013.44360,-179.80760]	40.208	[-1013.50262,-179.83267]	0.00059088	0.0000000091194
2013-12-24T07:22:07.120	40.611	[-1013.87317,-179.99023]	40.244	[-1013.53528,-179.84656]	0.00059145	0.0000000097509
2013-12-24T07:23:07.120	41.078	[-1014.30267,-180.17288]	40.279	[-1013.56787,-179.86043]	0.00059205	0.000000010426
2013-12-24T07:24:07.140	41.078	[-1014.30267,-180.17288]	40.315	[-1013.60059,-179.87436]	0.00059270	0.000000011148
2013-12-24T07:25:07.130	41.078	[-1014.30267,-180.17288]	40.350	[-1013.63336,-179.88828]	0.00059339	0.000000011920
2013-12-24T07:26:07.130	41.078	[-1014.30267,-180.17288]	40.386	[-1013.66614,-179.90222]	0.00059413	0.000000012746
2013-12-24T07:27:07.120	41.078	[-1014.30267,-180.17288]	40.422	[-1013.69904,-179.91615]	0.00059492	0.000000013628
2013-12-24T07:28:07.120	41.078	[-1014.30267,-180.17288]	40.457	[-1013.73181,-179.93016]	0.00059577	0.000000014572
2013-12-24T07:29:07.120	41.078	[-1014.30267,-180.17288]	40.493	[-1013.76477,-179.94415]	0.00059667	0.000000015581
2013-12-24T07:30:07.130	41.078	[-1014.30267,-180.17288]	40.529	[-1013.79773,-179.95816]	0.00059764	0.000000016660
2013-12-24T07:31:07.120	40.144	[-1013.44360,-179.80760]	40.565	[-1013.83075,-179.97220]	0.00059867	0.000000017813
2013-12-24T07:32:07.120	40.144	[-1013.44360,-179.80760]	40.601	[-1013.86383,-179.98628]	0.00059978	0.000000019047
2013-12-24T07:33:07.120	40.144	[-1013.44360,-179.80760]	40.637	[-1013.89703,-180.00035]	0.00060096	0.000000020366
2013-12-24T07:34:07.120	40.144	[-1013.44360,-179.80760]	40.673	[-1013.93024,-180.01448]	0.00060222	0.000000021776
2013-12-24T07:35:19.120	41.078	[-1014.30267,-180.17288]	40.716	[-1013.97021,-180.03148]	0.00060385	0.000000023598
2013-12-24T07:36:19.130	41.078	[-1014.30267,-180.17288]	40.753	[-1014.00360,-180.04567]	0.00060532	0.000000025232
2013-12-24T07:37:19.120	41.078	[-1014.30267,-180.17288]	40.789	[-1014.03699,-180.05989]	0.00060689	0.000000026979
2013-12-24T07:38:19.120	42.011	[-1015.16187,-180.53818]	40.825	[-1014.07062,-180.07416]	0.00060856	0.000000028847
2013-12-24T07:39:19.120	42.011	[-1015.16187,-180.53818]	40.862	[-1014.10419,-180.08847]	0.00061035	0.000000030845
2013-12-24T07:40:19.130	42.011	[-1015.16187,-180.53818]	40.899	[-1014.13800,-180.10283]	0.00061226	0.000000032981
2013-12-24T07:41:19.130	42.011	[-1015.16187,-180.53818]	40.936	[-1014.17181,-180.11723]	0.00061431	0.000000035265
2013-12-24T07:42:19.120	42.011	[-1015.16187,-180.53818]	40.972	[-1014.20581,-180.13167]	0.00061650	0.000000037707
2013-12-24T07:43:19.120	42.011	[-1015.16187,-180.53818]	41.009	[-1014.23999,-180.14618]	0.00061884	0.000000040318
2013-12-24T07:44:19.120	42.011	[-1015.16187,-180.53818]	41.047	[-1014.27423,-180.16072]	0.00062134	0.000000043110
2013-12-24T07:45:19.120	42.011	[-1015.16187,-180.53818]	41.084	[-1014.30853,-180.17535]	0.00062402	0.000000046095
2013-12-24T07:46:19.130	42.011	[-1015.16187,-180.53818]	41.122	[-1014.34308,-180.19003]	0.00062688	0.000000049287
2013-12-24T07:47:19.140	42.945	[-1016.02112,-180.90347]	41.159	[-1014.37781,-180.20479]	0.00062994	0.000000052701
2013-12-24T07:48:19.120	42.945	[-1016.02112,-180.90347]	41.197	[-1014.41260,-180.21959]	0.00063320	0.000000056349
2013-12-24T07:49:19.120	42.945	[-1016.02112,-180.90347]	41.235	[-1014.44775,-180.23451]	0.00063670	0.000000060251
