#observing time start and remaining unobscured observing time
start,end
2011/01/01 17:00:00,47.81
2011/01/01 18:15:53,47.81
2011/01/01 19:46:24,47.8
2011/01/01 21:16:55,47.79
2011/01/01 22:47:27,47.79
2011/01/02 00:17:58,47.78
2011/01/02 01:48:29,47.77
2011/01/02 03:19:01,47.76
2011/01/02 04:49:32,47.76
2011/01/02 06:20:03,47.75
2011/01/02 07:50:35,47.74
2011/01/02 09:21:06,47.73
2011/01/02 10:51:38,47.72
2011/01/02 12:22:09,47.72
2011/01/02 13:52:41,47.71
2011/01/02 15:23:12,47.7
2011/01/02 16:53:44,47.69
2011/01/02 18:24:15,47.69
2011/01/02 19:54:47,47.68
2011/01/02 21:25:18,47.67
2011/01/02 22:55:50,47.66
2011/01/03 00:26:21,47.64
2011/01/03 01:56:53,47.63
2011/01/03 03:27:25,47.62
2011/01/03 04:57:56,47.6
2011/01/03 06:28:28,47.59
2011/01/03 07:59:00,47.58
2011/01/03 09:29:32,47.56
2011/01/03 11:00:03,47.55
2011/01/03 12:30:35,47.54
2011/01/03 14:01:07,47.52
2011/01/03 15:31:39,47.51
2011/01/03 17:02:11,47.5
2011/01/03 18:32:42,47.48
2011/01/03 20:03:14,47.47
2011/01/03 21:33:46,47.45
2011/01/03 23:04:18,47.44
2011/01/04 00:34:50,47.43
2011/01/04 02:05:22,47.41
2011/01/04 03:35:54,47.4
2011/01/04 05:06:26,47.38
2011/01/04 06:36:58,47.37
2011/01/04 08:07:30,47.36
2011/01/04 09:38:02,47.34
2011/01/04 11:08:34,47.33
2011/01/04 12:39:06,47.31
2011/01/04 14:09:39,47.3
2011/01/04 15:40:11,47.29
2011/01/04 17:10:43,47.27
2011/01/04 18:41:15,47.26
2011/01/04 20:11:47,47.24
2011/01/04 21:42:20,47.23
2011/01/04 23:12:52,47.22
2011/01/05 00:43:24,47.2
2011/01/05 02:13:56,47.19
2011/01/05 03:44:29,47.17
2011/01/05 05:15:01,47.16
2011/01/05 06:45:33,47.14
2011/01/05 08:16:06,47.13
2011/01/05 09:46:38,47.12
2011/01/05 11:17:11,47.1
2011/01/05 12:47:43,47.09
2011/01/05 14:18:16,47.07
2011/01/05 15:48:48,47.06
2011/01/05 17:19:21,47.04
2011/01/05 18:49:53,47.03
2011/01/05 20:20:26,47.02
2011/01/05 21:50:58,47.0
2011/01/05 23:21:31,46.99
2011/01/06 00:52:04,46.97
2011/01/06 02:22:36,46.96
2011/01/06 03:53:09,46.94
2011/01/06 05:23:42,46.93
2011/01/06 06:54:14,46.91
2011/01/06 08:24:47,46.9
2011/01/06 09:55:20,46.88
2011/01/06 11:25:53,46.87
2011/01/06 12:56:26,46.85
2011/01/06 14:26:58,46.84
2011/01/06 15:57:31,46.84
2011/01/06 17:28:04,46.84
2011/01/06 18:58:37,46.85
2011/01/06 20:29:10,46.85
2011/01/06 21:59:43,46.86
2011/01/06 23:30:16,46.87
2011/01/07 01:00:49,46.87
2011/01/07 02:31:22,46.88
2011/01/07 04:01:55,46.88
2011/01/07 05:32:28,46.89
2011/01/07 07:03:01,46.9
2011/01/07 08:33:34,46.9
2011/01/07 10:04:08,46.91
2011/01/07 11:34:41,46.92
2011/01/07 13:05:14,46.92
2011/01/07 14:35:47,46.93
2011/01/07 16:06:20,46.93
2011/01/07 17:36:54,46.94
2011/01/07 19:07:27,46.95
2011/01/07 20:38:00,46.95
2011/01/07 22:08:34,46.96
2011/01/07 23:39:07,46.96
2011/01/08 01:09:40,46.97
2011/01/08 02:40:14,46.98
2011/01/08 04:10:47,46.98
2011/01/08 05:41:21,46.99
2011/01/08 07:11:54,46.99
2011/01/08 08:42:28,47.0
2011/01/08 10:13:01,47.01
2011/01/08 11:43:35,47.01
2011/01/08 13:14:08,47.02
2011/01/08 14:44:42,47.03
2011/01/08 16:15:16,47.03
2011/01/08 17:45:49,47.04
2011/01/08 19:16:23,47.04
2011/01/08 20:46:57,47.05
2011/01/08 22:17:31,47.06
2011/01/08 23:48:04,47.06
2011/01/09 01:18:38,47.07
2011/01/09 02:49:12,47.07
2011/01/09 04:19:46,47.08
2011/01/09 05:50:20,47.09
2011/01/09 07:20:54,47.09
2011/01/09 08:51:27,47.1
2011/01/09 10:22:01,47.11
2011/01/09 11:52:35,47.11
2011/01/09 13:23:09,47.12
2011/01/09 14:53:43,47.12
2011/01/09 16:24:17,47.13
2011/01/09 17:54:52,47.14
2011/01/09 19:25:26,47.14
2011/01/09 20:56:00,47.15
2011/01/09 22:26:34,47.16
2011/01/09 23:57:08,47.16
2011/01/10 01:27:42,47.16
2011/01/10 02:58:17,47.12
2011/01/10 04:28:51,47.07
2011/01/10 05:59:25,47.03
2011/01/10 07:29:59,46.99
2011/01/10 09:00:34,46.95
2011/01/10 10:31:08,46.91
2011/01/10 12:01:43,46.86
2011/01/10 13:32:17,46.82
2011/01/10 15:02:51,46.78
2011/01/10 16:33:26,46.74
2011/01/10 18:04:00,46.7
2011/01/10 19:34:35,46.65
2011/01/10 21:05:09,46.61
2011/01/10 22:35:44,46.57
2011/01/11 00:06:19,46.53
2011/01/11 01:36:53,46.49
2011/01/11 03:07:28,46.45
2011/01/11 04:38:03,46.4
2011/01/11 06:08:37,46.36
2011/01/11 07:39:12,46.32
2011/01/11 09:09:47,46.28
2011/01/11 10:40:22,46.23
2011/01/11 12:10:56,46.19
2011/01/11 13:41:31,46.15
2011/01/11 15:12:06,46.11
2011/01/11 16:42:41,46.07
2011/01/11 18:13:16,46.03
2011/01/11 19:43:51,45.98
2011/01/11 21:14:26,45.94
2011/01/11 22:45:01,45.9
2011/01/12 00:15:36,45.86
2011/01/12 01:46:11,45.81
2011/01/12 03:16:46,45.77
2011/01/12 04:47:21,45.73
2011/01/12 06:17:56,45.69
2011/01/12 07:48:32,45.65
2011/01/12 09:19:07,45.61
2011/01/12 10:49:42,45.56
2011/01/12 12:20:17,45.52
2011/01/12 13:50:53,45.48
2011/01/12 15:21:28,45.44
2011/01/12 16:52:03,45.39
2011/01/12 18:22:39,45.35
2011/01/12 19:53:14,45.31
2011/01/12 21:23:49,45.27
2011/01/12 22:54:25,45.23
2011/01/13 00:25:00,45.19
2011/01/13 01:55:36,45.14
2011/01/13 03:26:11,45.1
2011/01/13 04:56:47,45.06
2011/01/13 06:27:23,45.02
2011/01/13 07:57:58,44.98
2011/01/13 09:28:34,44.94
2011/01/13 10:59:09,44.89
2011/01/13 12:29:45,44.85
2011/01/13 14:00:21,44.88
2011/01/13 15:30:57,44.96
2011/01/13 17:01:32,45.05
2011/01/13 18:32:08,45.13
2011/01/13 20:02:44,45.21
2011/01/13 21:33:20,45.3
2011/01/13 23:03:56,45.38
2011/01/14 00:34:32,45.47
2011/01/14 02:05:08,45.55
2011/01/14 03:35:44,45.63
2011/01/14 05:06:20,45.72
2011/01/14 06:36:56,45.8
2011/01/14 08:07:32,45.88
2011/01/14 09:38:08,45.97
2011/01/14 11:08:44,46.05
2011/01/14 12:39:20,46.13
2011/01/14 14:09:57,46.21
2011/01/14 15:40:33,46.3
2011/01/14 17:11:09,46.38
2011/01/14 18:41:45,46.46
2011/01/14 20:12:22,46.54
2011/01/14 21:42:58,46.63
2011/01/14 23:13:34,46.71
2011/01/15 00:44:11,46.79
2011/01/15 02:14:47,46.87
2011/01/15 03:45:24,46.95
2011/01/15 05:16:00,47.03
2011/01/15 06:46:37,47.12
2011/01/15 08:17:13,47.2
2011/01/15 09:47:50,47.28
2011/01/15 11:18:26,47.36
2011/01/15 12:49:03,47.44
2011/01/15 14:19:40,47.52
2011/01/15 15:50:16,47.6
2011/01/15 17:20:53,47.68
2011/01/15 18:51:30,47.76
2011/01/15 20:22:07,47.84
2011/01/15 21:52:43,47.92
2011/01/15 23:23:20,48.0
2011/01/16 00:53:57,48.08
2011/01/16 02:24:34,48.16
2011/01/16 03:55:11,48.24
2011/01/16 05:25:48,48.32
2011/01/16 06:56:25,48.39
2011/01/16 08:27:02,48.47
2011/01/16 09:57:39,48.55
2011/01/16 11:28:16,48.63
2011/01/16 12:58:53,48.71
2011/01/16 14:29:30,48.78
2011/01/16 16:00:08,48.86
2011/01/16 17:30:45,48.94
2011/01/16 19:01:22,49.01
2011/01/16 20:31:59,49.09
2011/01/16 22:02:37,49.16
2011/01/16 23:33:14,49.24
2011/01/17 01:03:51,49.32
2011/01/17 02:34:29,49.39
2011/01/17 04:05:06,49.46
2011/01/17 05:35:43,49.52
2011/01/17 07:06:21,49.56
2011/01/17 08:36:58,49.6
2011/01/17 10:07:36,49.65
2011/01/17 11:38:14,49.69
2011/01/17 13:08:51,49.73
2011/01/17 14:39:29,49.77
2011/01/17 16:10:07,49.81
2011/01/17 17:40:44,49.85
2011/01/17 19:11:22,49.89
2011/01/17 20:42:00,49.93
2011/01/17 22:12:38,49.97
2011/01/17 23:43:15,50.01
2011/01/18 01:13:53,50.05
2011/01/18 02:44:31,50.09
2011/01/18 04:15:09,50.12
2011/01/18 05:45:47,50.16
2011/01/18 07:16:25,50.2
2011/01/18 08:47:03,50.24
2011/01/18 10:17:41,50.27
2011/01/18 11:48:19,50.31
2011/01/18 13:18:57,50.35
2011/01/18 14:49:36,50.38
2011/01/18 16:20:14,50.42
2011/01/18 17:50:52,50.45
2011/01/18 19:21:30,50.49
2011/01/18 20:52:09,50.52
2011/01/18 22:22:47,50.56
2011/01/18 23:53:25,50.59
2011/01/19 01:24:04,50.62
2011/01/19 02:54:42,50.66
2011/01/19 04:25:21,50.69
2011/01/19 05:55:59,50.72
2011/01/19 07:26:38,50.75
2011/01/19 08:57:16,50.78
2011/01/19 10:27:55,50.81
2011/01/19 11:58:34,50.84
2011/01/19 13:29:12,50.87
2011/01/19 14:59:51,50.9
2011/01/19 16:30:30,50.93
2011/01/19 18:01:09,50.96
2011/01/19 19:31:48,50.99
2011/01/19 21:02:27,51.01
2011/01/19 22:33:06,51.04
2011/01/20 00:03:45,51.06
2011/01/20 01:34:24,51.09
2011/01/20 03:05:03,51.11
2011/01/20 04:35:42,51.14
2011/01/20 06:06:21,51.16
2011/01/20 07:37:00,34.5
2011/01/20 09:07:40,34.5
2011/01/20 10:38:19,34.5
2011/01/20 12:08:59,34.5
2011/01/20 13:39:38,34.5
2011/01/20 15:10:18,34.5
2011/01/20 16:40:58,34.5
2011/01/20 18:11:38,34.5
2011/01/20 19:42:17,34.5
2011/01/20 21:12:58,34.5
2011/01/20 22:43:38,34.5
2011/01/21 00:14:18,34.5
2011/01/21 01:44:58,34.5
2011/01/21 03:15:39,34.5
2011/01/21 04:46:20,34.5
2011/01/21 06:17:01,34.5
2011/01/21 07:47:42,34.5
2011/01/21 09:18:24,34.5
2011/01/21 10:49:06,34.5
